iter	Passed	Remaining
0	1	1962
1	3	1975
2	5	1918
3	7	1845
4	9	1791
5	10	1754
6	12	1711
7	13	1683
8	15	1676
9	16	1649
10	18	1625
11	19	1617
12	21	1612
13	22	1601
14	24	1591
15	25	1581
16	27	1571
17	28	1565
18	30	1556
19	31	1550
20	33	1558
21	35	1562
22	36	1564
23	38	1561
24	40	1565
25	41	1553
26	42	1548
27	44	1545
28	46	1544
29	47	1541
30	49	1537
31	50	1531
32	52	1526
33	53	1520
34	54	1515
35	56	1511
36	57	1506
37	59	1503
38	61	1503
39	62	1501
40	64	1498
41	65	1485
42	66	1480
43	67	1475
44	69	1470
45	70	1466
46	72	1462
47	73	1458
48	75	1455
49	76	1454
50	78	1451
51	79	1449
52	80	1445
53	82	1441
54	83	1438
55	85	1434
56	86	1432
57	88	1430
58	89	1428
59	91	1425
60	92	1422
61	93	1421
62	95	1419
63	97	1418
64	98	1421
65	100	1421
66	102	1422
67	103	1420
68	105	1418
69	106	1415
70	107	1412
71	109	1412
72	111	1409
73	112	1408
74	113	1405
75	115	1402
76	116	1401
77	118	1399
78	120	1399
79	121	1396
80	122	1393
81	124	1393
82	125	1390
83	127	1388
84	128	1386
85	130	1383
86	131	1383
87	133	1380
88	134	1378
89	136	1375
90	137	1373
91	139	1372
92	140	1370
93	142	1369
94	142	1361
95	144	1359
96	145	1357
97	147	1355
98	148	1354
99	150	1352
100	151	1349
101	153	1347
102	154	1346
103	155	1343
104	157	1342
105	158	1340
106	160	1338
107	161	1337
108	163	1334
109	164	1332
110	166	1331
111	168	1333
112	169	1331
113	171	1330
114	172	1328
115	174	1327
116	175	1324
117	177	1324
118	178	1322
119	180	1323
120	182	1326
121	184	1325
122	185	1324
123	187	1324
124	189	1324
125	191	1325
126	193	1329
127	195	1328
128	196	1328
129	199	1332
130	200	1330
131	202	1330
132	203	1328
133	205	1325
134	206	1324
135	208	1323
136	209	1321
137	211	1319
138	212	1317
139	214	1316
140	215	1315
141	218	1317
142	219	1315
143	220	1313
144	222	1311
145	224	1310
146	225	1308
147	226	1306
148	228	1305
149	230	1303
150	231	1301
151	232	1299
152	234	1299
153	236	1297
154	239	1306
155	241	1304
156	242	1303
157	244	1303
158	246	1302
159	247	1300
160	249	1299
161	251	1300
162	253	1299
163	254	1299
164	256	1299
165	258	1298
166	260	1301
167	262	1300
168	264	1300
169	265	1298
170	267	1298
171	269	1296
172	271	1295
173	272	1294
174	274	1295
175	276	1295
176	278	1294
177	279	1293
178	282	1293
179	284	1294
180	285	1293
181	287	1292
182	289	1290
183	290	1290
184	292	1289
185	294	1288
186	296	1287
187	297	1285
188	299	1284
189	301	1283
190	302	1281
191	304	1279
192	305	1278
193	307	1276
194	308	1274
195	310	1272
196	311	1271
197	313	1269
198	315	1268
199	316	1266
200	318	1264
201	319	1262
202	321	1261
203	322	1259
204	323	1255
205	325	1253
206	326	1250
207	328	1249
